_id,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Skills and Perks
5f9fc83d153e7b49e476c942,2020-11-02 14:20:04,Content Writing,Lloyd Harrington Australia Proprietary Limited,Secunderabad,Immediately, 7000 /month,6 Months,"2 Dec' 20",Internship with job offer,"[""Social Media Marketing"",""Search Engine Marketing (SEM)"",""Search Engine Optimization (SEO)"",""Creative Writing"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Job offer""]"
5f9fc83e153e7b49e476c943,2020-11-02 14:20:05,Flutter Application Development (Full Stack),Sidangel Fund,Delhi,Immediately, 20000 /month,6 Months,"11 Nov' 20",Internship with job offer,"[""Java"",""JavaScript"",""Flutter"",""Certificate"","" Letter of recommendation"","" Job offer""]"
5f9fc841153e7b49e476c944,2020-11-02 14:20:08,Flutter Application Development (Full Stack),Sidangel Fund,Delhi,Immediately, 20000 /month,6 Months,"11 Nov' 20",Internship with job offer,"[""Java"",""JavaScript"",""Flutter"",""Certificate"","" Letter of recommendation"","" Job offer""]"
5f9fc841153e7b49e476c945,2020-11-02 14:20:09,Product Management,Creditvidya,Hyderabad,Immediately, 10000-15000 /month,3 Months,"11 Nov' 20",Internship with job offer,"[""Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week"","" Job offer""]"
5f9fc842153e7b49e476c946,2020-11-02 14:20:09,Business Development (Sales),Shreeram Technologies Services Private Limited,Chennai,Immediately, 8000 /month +  Incentives,3 Months,"11 Nov' 20",Internship,"[""Email Marketing"",""Certificate"","" Letter of recommendation"","" Flexible work hours""]"
5f9fc843153e7b49e476c947,2020-11-02 14:20:10,Social Media Marketing,Wudbox,Hyderabad,Immediately, 10000 /month,6 Months,"11 Nov' 20",Internship,"[""Google AdWords"",""Facebook Marketing"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation""]"
5f9fc844153e7b49e476c948,2020-11-02 14:20:11,Python/Django Development,ZestIOT Technologies Private Limited,Hyderabad,Immediately, 8000 /month,6 Months,"11 Nov' 20",Internship with job offer,"[""MySQL"",""Python"",""Linux"",""Django"",""Shell Scripting"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week"","" Job offer""]"
5f9fc845153e7b49e476c949,2020-11-02 14:20:12,Human Resources (HR),Mountainor Well Being Private Limited,Hyderabad,Immediately, 7000 /month,6 Months,"11 Nov' 20",Internship,"[""MS-Office"",""MS-Word"",""MS-PowerPoint"",""MS-Excel"",""English Proficiency (Spoken)"",""English Proficiency (Written)""]"
5f9fc846153e7b49e476c94a,2020-11-02 14:20:13,Android App Development,UnioLabs,Hyderabad,Immediately, 3000-5000 /month,3 Months,"11 Nov' 20",Internship,"[""Java"",""SQL"",""JSON"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" 5 days a week""]"
5f9fc846153e7b49e476c94b,2020-11-02 14:20:14,Content Writing,Stratfit,Hyderabad,Immediately, 5000 /month,6 Months,"11 Nov' 20",Internship,"[""Blogging"",""Copywriting"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code""]"
5f9fc847153e7b49e476c94c,2020-11-02 14:20:14,Business Development (Sales),Confluence Educational Services,Hyderabad,Immediately, 10000 /month,3 Months,"11 Nov' 20",Internship,"[""Creative Writing"",""Certificate"","" Letter of recommendation"","" Informal dress code"","" Free snacks & beverages""]"
5f9fc848153e7b49e476c94d,2020-11-02 14:20:15,Operations,Fifth Avenue Event Management,Hyderabad,Immediately, 5000 /month +  Incentives,3 Months,"11 Nov' 20",Internship,"[""Certificate"","" Flexible work hours"","" Informal dress code""]"
5f9fc849153e7b49e476c94e,2020-11-02 14:20:16,Human Resources (HR),Confluence Educational Services,Hyderabad,Immediately, 10000 /month,3 Months,"11 Nov' 20",Internship,"[""Creative Writing"",""Certificate"","" Letter of recommendation"","" Informal dress code"","" Free snacks & beverages""]"
5f9fc84a153e7b49e476c94f,2020-11-02 14:20:17,Recruitment Consulting,Lloyd Harrington Australia Proprietary Limited,Hyderabad,Immediately, 7000 /month,6 Months,"2 Dec' 20",Internship,"[""Recruitment"",""MS-Word"",""Email Marketing"",""MS-Excel"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Flexible work hours""]"
5f9fc84a153e7b49e476c950,2020-11-02 14:20:18,Digital Marketing,Lloyd Harrington Australia Proprietary Limited,Hyderabad,Immediately, 7000 /month,6 Months,"2 Dec' 20",Internship,"[""Digital Marketing"",""English Proficiency (Written)"",""Certificate"","" Flexible work hours""]"
5f9fc84d153e7b49e476c951,2020-11-02 14:20:18,Social Media Marketing,Lloyd Harrington Australia Proprietary Limited,Hyderabad,Immediately, 7000 /month,6 Months,"2 Dec' 20",Internship,"[""Social Media Marketing"",""Digital Marketing"",""Certificate"","" Letter of recommendation"","" Flexible work hours""]"
5f9fc84e153e7b49e476c952,2020-11-02 14:20:21,Digital Marketing,Oddy Labs,Hyderabad,Immediately, 4000 /month,6 Months,"11 Nov' 20",Internship with job offer,"[""Search Engine Marketing (SEM)"",""Digital Marketing"",""Search Engine Optimization (SEO)"",""Email Marketing"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" Job offer""]"
5f9fc84f153e7b49e476c953,2020-11-02 14:20:22,Site Engineering,AV Design Studio,Hyderabad,Immediately, 8000 /month,6 Months,"11 Nov' 20",Internship,"[""Certificate"","" Informal dress code""]"
5f9fc852153e7b49e476c954,2020-11-02 14:20:23,Product Development (Health & Personal Care),Mountainor Well Being Private Limited,Hyderabad,Immediately, 7000 /month,6 Months,"11 Nov' 20",Internship,"[""English Proficiency (Spoken)"",""English Proficiency (Written)"",""MS-Excel""]"
5f9fc853153e7b49e476c955,2020-11-02 14:20:26,Operations (MBA),Uniworks Designs Private Limited,Hyderabad,Immediately, 10000 /month,6 Months,"11 Nov' 20",Internship,"[""MS-Excel"",""Certificate""]"
5f9fc853153e7b49e476c956,2020-11-02 14:20:27,Digital Marketing,NutanTek Solutions LLP,Ghaziabad,Immediately, 4000 /month,6 Months,"10 Nov' 20",Internship,"[""Social Media Marketing"",""MS-PowerPoint"",""Facebook Marketing"",""Video Making"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Free snacks & beverages""]"
5f9fc854153e7b49e476c957,2020-11-02 14:20:27,Human Resources (HR),Innovativeads,Hyderabad,Immediately, 2000-5000 /month,3 Months,"10 Nov' 20",Internship,"[""MS-Office"",""Certificate"","" Letter of recommendation"","" Flexible work hours""]"
5f9fc855153e7b49e476c958,2020-11-02 14:20:28,Business Development (Sales),StanPlus Technologies Private Limited,Hyderabad,Immediately, 5000 /month +  Incentives,2 Months,"10 Nov' 20",Internship with job offer,"[""MS-Excel"",""Client Relationship"",""Certificate"","" Letter of recommendation"","" Job offer""]"
5f9fc856153e7b49e476c959,2020-11-02 14:20:29,Web Development,Design Nation,Hyderabad,Immediately, 2000-3000 /month,4 Months,"10 Nov' 20",Internship,"[""HTML"",""WordPress"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week"","" Free snacks & beverages""]"
5f9fc856153e7b49e476c95a,2020-11-02 14:20:30,Social Media Marketing,The Branding Company,Hyderabad,Immediately, 5000 /month,3 Months,"10 Nov' 20",Internship,"[""Social Media Marketing"",""Facebook Marketing"",""Instagram Marketing"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week""]"
5f9fc857153e7b49e476c95b,2020-11-02 14:20:30,Community Management,Rizzle,Hyderabad,Immediately, 7000-10000 /month,3 Months,"10 Nov' 20",Internship,"[""Event Management"",""MS-Excel"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Flexible work hours"","" 5 days a week""]"
5f9fc858153e7b49e476c95c,2020-11-02 14:20:31,Operations,Mounty Outdoor Adventures Private Limited,Hyderabad,Immediately, 8000 /month,6 Months,"10 Nov' 20",Internship with job offer,"[""MS-PowerPoint"",""MS-Excel"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Hindi Proficiency (Spoken)"",""Certificate"","" Letter of recommendation"","" Informal dress code"","" Job offer""]"
5f9fc859153e7b49e476c95d,2020-11-02 14:20:32,Energy Engineering,Zenith Energy Services Private Limited,Hyderabad,Immediately, 5000 /month,3 Months,"10 Nov' 20",Internship,"[""MS-Word"",""MS-PowerPoint"",""MS-Excel"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation"","" Flexible work hours""]"
5f9fc859153e7b49e476c95e,2020-11-02 14:20:33,Sales And Marketing,Facehiring,Hyderabad,Immediately, 5000 /month,6 Months,"10 Nov' 20",Internship,"[""Certificate"","" Letter of recommendation"","" 5 days a week""]"
5f9fc85b153e7b49e476c95f,2020-11-02 14:20:33,Content Writing,UnioLabs,Hyderabad,Immediately, 3000 /month,3 Months,"10 Nov' 20",Internship,"[""Search Engine Optimization (SEO)"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Flexible work hours"","" 5 days a week""]"
5f9fc85b153e7b49e476c960,2020-11-02 14:20:35,Graphic Design,Mountainor Well Being Private Limited,Hyderabad,Immediately, 10000 /month,3 Months,"10 Nov' 20",Internship,"[""Adobe Photoshop"",""CorelDRAW"",""Adobe Illustrator"",""3ds Max""]"
5f9fc85c153e7b49e476c961,2020-11-02 14:20:35,Customer Success Management,Joveo Technologies Private Limited,Bangalore,Immediately, 10000 /month,6 Months,"10 Nov' 20",Internship,"[""MS-Office"",""Certificate"","" Letter of recommendation""]"
